"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
10,"TIRAMISU KITCHEN","033 BELDEN PL","San Francisco","CA","94104","37.791116","-122.403816",""
17,"GEORGE'S COFFEE SHOP","2200 OAKDALE AVE ","San Francisco","CA","94124","37.741086","-122.401737","+14155531470"
19,"NRGIZE LIFESTYLE CAFE","1200 VAN NESS AVE, 3RD FLOOR","San Francisco","CA","94109","37.786848","-122.421547",""
24,"OMNI S.F. HOTEL - 2ND FLOOR PANTRY","500 CALIFORNIA ST, 2ND  FLOOR","San Francisco","CA","94104","37.792888","-122.403135",""
29,"CHICO'S PIZZA","131 06TH ST ","San Francisco","CA","94103","37.774722","-122.406761","+14155251111"
31,"NORMAN'S ICE CREAM AND FREEZES","2801 LEAVENWORTH ST ","San Francisco","CA","94133","37.807155","-122.419004",
45,"CHARLIE'S DELI CAFE","3202 FOLSOM ST ","San Francisco","CA","94110","37.747114","-122.413641",""
48,"ART'S CAFE","747 IRVING ST ","San Francisco","CA","94122","37.764013","-122.465749",""
50,"SUSHI ZONE","1815  MARKET ST. ","San Francisco","CA","94103","37.771437","-122.423892","+14155621114"
54,"RHODA GOLDMAN PLAZA","2180 POST ST ","San Francisco","CA","94115","37.784626","-122.437734","+14155345060"
56,"CAFE X + O","1799 CHURCH ST ","San Francisco","CA","94131","37.742325","-122.426476","+14155823535"
58,"OASIS GRILL","91 DRUMM ST ","San Francisco","CA","94111","37.794483","-122.396584",""
61,"CHOWDERS","PIER 39  SPACE A3","San Francisco","CA","94133","37.80824","-122.410189",""
66,"STARBUCKS COFFEE","1800 IRVING ST ","San Francisco","CA","94122","37.763578","-122.477461",""
67,"REVOLUTION CAFE","3248 22ND ST ","San Francisco","CA","94110","37.755419","-122.419542",""
71,"KAPPA RESTAURANT","1700 POST ST K","San Francisco","CA","94115","37.785567","-122.430074","+14155676004"
73,"DINO'S UNCLE VITO","2101 FILLMORE ST ","San Francisco","CA","94115","37.788932","-122.433895",""
76,"OMNI S.F. HOTEL - 3RD FLOOR PANTRY","500 CALIFORNIA ST, 3RD FLOOR","San Francisco","CA","94104","37.792888","-122.403135",""
77,"OMNI S.F. HOTEL - EMPLOYEE CAFETERIA","500 CALIFORNIA ST, BASEMENT","San Francisco","CA","94104","37.792888","-122.403135",""
80,"LAW SCHOOL CAFE","2199 FULTON ST ","San Francisco","CA","94117","37.774941","-122.452797",""
81,"CLUB ED/BON APPETIT","2350 TURK ST ","San Francisco","CA","94117","37.778468","-122.448484",""
83,"CHEZ MAMAN","1453 18TH ST ","San Francisco","CA","94107","37.762513","-122.397169","+14155378680"
85,"EL MAJAHUAL RESTAURANT","1142 VALENCIA ST","San Francisco","CA","94110","37.754687","-122.420945","+14155827514"
88,"J.B.'S PLACE","1435 17TH ST ","San Francisco","CA","94107","37.765003","-122.398084",""
95,"VEGA","419 CORTLAND AVE ","San Francisco","CA","94110","37.739207","-122.417447",""
98,"XOX TRUFFLES","754 COLUMBUS AVE ","San Francisco","CA","94133","37.801665","-122.412104",""
99,"J & M A-1 CAFE RESTAURANT LLC","779 CLAY ST ","San Francisco","CA","94108","37.794293","-122.405967",""
101,"CABLE CAR CORNER","1099 POWELL ST ","San Francisco","CA","94108","37.794615","-122.409705",""
102,"AKIKO'S SUSHI BAR","542A MASON ST ","San Francisco","CA","94102","37.788484","-122.410045",""
104,"INO SUSHI","22 PEACE PLAZA  #510","San Francisco","CA","94115","37.785018","-122.429587","+14155923121"
108,"RUE LEPIC","900 PINE ST","San Francisco","CA","94108","37.790868","-122.410854",""
111,"PETITE DELI","752 COLUMBUS AVE ","San Francisco","CA","94133","37.801665","-122.412104",""
116,"THE WATERFRONT RESTAURANT","PIER 7 EMBARCADERO","San Francisco","CA","94111","37.793874","-122.396464",""
121,"AKIKOS SUSHI","431 BUSH ST ","San Francisco","CA","94108","37.790643","-122.404676",""
125,"CENTERFOLDS","391 BROADWAY ST ","San Francisco","CA","94133","37.798233","-122.403637",""
126,"BROADWAY DIM SUM","684 BROADWAY ST ","San Francisco","CA","94133","37.797708","-122.408413",""
130,"CAFFE MACARONI","59 COLUMBUS AVE ","San Francisco","CA","94111","37.796208","-122.404308",""
132,"SILVER STAR CAFE AND DELI","316 PACIFIC AVE ","San Francisco","CA","94111","37.797668","-122.401125",""
134,"MINT","400 MCALLISTER ST","San Francisco","CA","94102","37.780247","-122.418974",""
140,"CAFE MADELEINE","300 CALIFORNIA ST ","San Francisco","CA","94104","37.793268","-122.400323",""
141,"AFC SUSHI @ MOLLIE STONE'S 2","2435 CALIFORNIA ST ","San Francisco","CA","94115","37.788773","-122.434697",""
146,"DEJA VU PIZZA & PASTA","3227 16TH ST ","San Francisco","CA","94103","37.764713","-122.424709","+14155251600"
151,"BUS STOP PIZZA #1","256 DIVISADERO ST ","San Francisco","CA","94117","37.771487","-122.437047","+14155629119"
155,"CAFE COLE","609 COLE ST ","San Francisco","CA","94117","37.769303","-122.450724","+14155667771"
164,"SAN FRANCISCO SOUP CO","50 POST ST, 3RD FLOOR","San Francisco","CA","94104","37.789064","-122.402861",""
178,"C & Y CAFE","400 CALIFORNIA ST  3RD FLOOR","San Francisco","CA","94104","37.793128","-122.401395",""
179,"SECRET GARDEN TEA HOUSE","721 LINCOLN WAY ","San Francisco","CA","94122","37.765933","-122.465809","+14155812403"
180,"NENAS RESTAURANT","3459 MISSION ST ","San Francisco","CA","94110","37.74146","-122.422484","+14155288985"
184,"RADIO HAVANA","1109 VALENCIA ST","San Francisco","CA","94110","37.755124","-122.420916","+14155827659"
187,"TAZA WRAPS & JUICE","750 FONT, BLDG B BLVD ","San Francisco","CA","94132","37.723054","-122.483612","+14155374525"
190,"COURTYARD BY MARRIOTT-STAFF KITCHEN","299 02ND ST ","San Francisco","CA","94105","37.785614","-122.396693",""
192,"ARLEQUIN","384 B HAYES ST ","San Francisco","CA","94102","37.777014","-122.422345",""
194,"BAYSIDE COFFEE SHOP","2011 BAYSHORE BLVD ","San Francisco","CA","94134","37.715126","-122.398901","+14155462023"
198,"SUBWAY","3801 03RD ST 310","San Francisco","CA","94124","37.741829","-122.388098",""
200,"JIM'S SMOKE SHOP","600 20TH ST ","San Francisco","CA","94107","37.760568","-122.387772",""
208,"CONSTANS GROCERY","4124 03RD ST ","San Francisco","CA","94124","37.739961","-122.389003",""
216,"SORABOL","101 SPEAR ST A12","San Francisco","CA","94105","37.792577","-122.393992",""
217,"PROGRESSIVE GROUNDS","400 CORTLAND AVE ","San Francisco","CA","94110","37.739143","-122.417653",""
221,"NOODLE EXPRESS","1235 VAN NESS AVE ","San Francisco","CA","94109","37.787076","-122.421822",
226,"GRUMPY'S AMERICAN PUB","125 VALLEJO ST ","San Francisco","CA","94111","37.799594","-122.400586",""
230,"GLOBE EATS INC","290 PACIFIC AVE ","San Francisco","CA","94111","37.797738","-122.400603",""
231,"CAFFE PUCCINI","411 COLUMBUS AVE ","San Francisco","CA","94133","37.799087","-122.408488",""
234,"NEW MOON RESTAURANT","1247 STOCKTON ST ","San Francisco","CA","94133","37.797303","-122.408574",""
236,"GELATO CLASSICO ITALIAN ICE","576 UNION ST ","San Francisco","CA","94133","37.800543","-122.408784",""
239,"JUST WONTON","1241 VICENTE ST ","San Francisco","CA","94116","37.739063","-122.480409",""
240,"MIKI RESTAURANT","3639 BALBOA ST ","San Francisco","CA","94121","37.775663","-122.497949",""
247,"TOY BOAT DESSERT CAFE","401 CLEMENT ST ","San Francisco","CA","94118","37.782953","-122.46351",""
251,"BEANERY INC.","602 IRVING ST ","San Francisco","CA","94122","37.764148","-122.464391","+14155661090"
253,"ANN'S DONUT COFFEE SHOP","4488 MISSION ST ","San Francisco","CA","94112","37.725949","-122.433906","+14155331761"
256,"MARCHE CLUB OF S.F.","4346 MISSION  ","San Francisco","CA","94112","37.727983","-122.432101",""
258,"VIKINGS GIANT SUBMARINE","1300 OCEAN AVE ","San Francisco","CA","94112","37.72404","-122.456539","+14155334344"
260,"MONTEREY PIZZA","599 MONTEREY BLVD ","San Francisco","CA","94127","37.731523","-122.448711","+14155585858"
264,"MELT!","700 COLUMBUS AVE ","San Francisco","CA","94133","37.801203","-122.411412",""
267,"ASA SUSHI","2365 CHESTNUT ST ","San Francisco","CA","94123","37.800023","-122.442266",""
268,"LOS HERMANOS","2026 CHESTNUT ST ","San Francisco","CA","94123","37.800767","-122.436924",""
272,"ON THE BRIDGE","1581 WEBSTER ST #206","San Francisco","CA","94115","37.785227","-122.431472","+14155927765"
273,"HAI SUN RESTAURANT","3137 LAGUNA ST ","San Francisco","CA","94123","37.800133","-122.431064",""
275,"BEN & JERRY'S","170 O'FARRELL ST BASEMENT","San Francisco","CA","94102","37.786548","-122.407313",""
276,"CORSAGNA","1668 UNION ST ","San Francisco","CA","94123","37.79826","-122.426748","+14155770527"
279,"INGA DONUTS","1026 HYDE ST ","San Francisco","CA","94109","37.790347","-122.417227",""
281,"PARMA RESTAURANT","3314 STEINER ST ","San Francisco","CA","94123","37.799807","-122.437649","+14155560500"
283,"HAI KY MI GIA","707 ELLIS ST ","San Francisco","CA","94109","37.784193","-122.417967",""
286,"PUNJAB KABAB HOUSE","101 EDDY ST ","San Francisco","CA","94102","37.784303","-122.409647",""
290,"BISTRO AIX","3340 STEINER ST ","San Francisco","CA","94123","37.800187","-122.437756","+14155200100"
298,"BAMBOO RESTAURANT","1441 POLK ST ","San Francisco","CA","94109","37.790134","-122.420634",""
299,"YUKOL PLACE THAI CUISINE","2380 LOMBARD ST ","San Francisco","CA","94123","37.799287","-122.440624",""
300,"SUBWAY","2001 VAN NESS AVE ","San Francisco","CA","94109","37.794134","-122.423234","+14155779929"
302,"MOULIN ROUGE","887 GEARY ST ","San Francisco","CA","94109","37.786084","-122.417889",""
305,"PACIFIC CATCH","2027 CHESTNUT ST ","San Francisco","CA","94123","37.800763","-122.436536","+14155441950"
315,"THE POSH BAGEL","495A CASTRO ST","San Francisco","CA","94114","37.760954","-122.434935",""
318,"FIRST CUP","2911 VAN NESS AVE ","San Francisco","CA","94109","37.802454","-122.424854",""
320,"NAPOLI PIZZA RESTAURANT","1045 POLK ST ","San Francisco","CA","94109","37.786545","-122.419894","+14155882222"
323,"WAYO","1407 VAN NESS AVE ","San Francisco","CA","94109","37.788609","-122.42213","+14155478369"
325,"MIFUNE RESTAURANT","1737 POST ST ","San Francisco","CA","94115","37.785457","-122.430317","+14155920337"
326,"TEN ICHI RESTAURANT","2235 FILLMORE ST ","San Francisco","CA","94115","37.790333","-122.434144",""
328,"MIYAKO","1470 FILLMORE ST","San Francisco","CA","94115","37.783017","-122.432584",""
335,"POLKERS","2226 POLK ST ","San Francisco","CA","94109","37.797296","-122.421967",""
337,"GORDO TAQUERIA #2","1239 09TH AVE ","San Francisco","CA","94122","37.758941","-122.48591",""
379,"GIANT SCOOP","2708 SAN BRUNO AVE ","San Francisco","CA","94134","37.727468","-122.403582","+14155465051"
380,"COFFEE CHOICE","310 03RD ST ","San Francisco","CA","94107","37.783517","-122.398668",
383,"KING LING","683 GEARY ST","San Francisco","CA","94102","37.786543","-122.414536",""
384,"RINCONSITO SALVADORENO","3829 MISSION ST ","San Francisco","CA","94110","37.73571","-122.424528",""
385,"REINA RESTAURANT","5479 MISSION ST ","San Francisco","CA","94112","37.712927","-122.444358",""
386,"ADELITA'S CAKES","3780 MISSION ST ","San Francisco","CA","94110","37.736304","-122.424432",""
389,"CAFE ELENA","1 MARKET ST ","San Francisco","CA","94105","37.794347","-122.394932",""
393,"SUPER STAR RESTAURANT","4919 MISSION ST B","San Francisco","CA","94112","37.719692","-122.438575",""
394,"SF MARRIOTT HOTEL PANTRY 5/F","55 04TH ST ","San Francisco","CA","94103","37.784964","-122.404752",""
395,"SF MARRIOTT HOTEL PANTRY 4/F","55 04TH ST ","San Francisco","CA","94103","37.784964","-122.404752",""
397,"SF MARRIOTT VIEW LOUNGE PANTRY","55 04TH ST ","San Francisco","CA","94103","37.784964","-122.404752",""
400,"COW HOLLOW CATERING","3301 LYON ST ","San Francisco","CA","94123","37.801401","-122.447857",
401,"STARBUCKS COFFEE","1 MARKET ST ","San Francisco","CA","94105","37.794347","-122.394932",""
403,"HAAGEN-DAZS #561","865 MARKET ST ","San Francisco","CA","94103","37.784317","-122.407563","+14155891550"
409,"EL FARO","82 01ST ST ","San Francisco","CA","94105","37.788613","-122.393894",""
413,"HOUSE OF HUNAN","2 TOWNSEND ST ","San Francisco","CA","94107","37.757923","-122.393914",""
415,"CAFE MADELEINE","43 O'FARRELL ST","San Francisco","CA","94108","37.786698","-122.405473",""
420,"BUSTER'S","366 COLUMBUS AVE ","San Francisco","CA","94133","37.798444","-122.407444",""
421,"CAFFE ROMA COFFEE ROASTING CO","526 COLUMBUS AVE ","San Francisco","CA","94133","37.799845","-122.409434",""
422,"MICHELANGELO CAFFE","579 COLUMBUS AVE ","San Francisco","CA","94133","37.800166","-122.410006",""
423,"ORALE ORALE INC","113 SACRAMENTO ST ","San Francisco","CA","94111","37.794501","-122.39716",""
424,"CHATZ","301 ARKANSAS ST ","San Francisco","CA","94107","37.762334","-122.398416",""
425,"MOCCA","175 MAIDEN LN ","San Francisco","CA","94108","37.788011","-122.406252",""
428,"CAFFE AMBROSIA","14 TRINITY PL ","San Francisco","CA","94104","37.790109","-122.402597",""
429,"CALZONE'S","430 COLUMBUS AVE ","San Francisco","CA","94133","37.798965","-122.408204",""
430,"ROSE PISTOLA","532 COLUMBUS AVE ","San Francisco","CA","94133","37.799915","-122.409544",""
431,"BOHEMIAN CIGAR STORE","566 COLUMBUS AVE ","San Francisco","CA","94133","37.800135","-122.409854",""
435,"VIENI-VIENI","1431 STOCKTON ST ","San Francisco","CA","94133","37.798914","-122.408885",""
436,"NORTH BEACH RESTAURANT","1512 STOCKTON ST ","San Francisco","CA","94133","37.799646","-122.408939",""
438,"HAWAII WEST","729 VALLEJO ST ","San Francisco","CA","94133","37.798494","-122.409337",""
442,"MY CANH RESTAURANT","626 BROADWAY ST ","San Francisco","CA","94133","37.797828","-122.407474",""
443,"THE STINKING ROSE","325 COLUMBUS AVE ","San Francisco","CA","94133","37.798306","-122.407327",""
444,"VESUVIO CAFE","255 COLUMBUS AVE ","San Francisco","CA","94133","37.797468","-122.406147",""
447,"L'OSTERIA DEL FORNO","519 COLUMBUS AVE ","San Francisco","CA","94133","37.799837","-122.409517",""
448,"YUET LEE RESTAURANT","1300 STOCKTON ST ","San Francisco","CA","94133","37.797817","-122.408597",""
462,"GARDEN OF EDEN","529 BROADWAY ST ","San Francisco","CA","94133","37.797933","-122.406018",""
463,"SAM'S PIZZA","618 BROADWAY ST ","San Francisco","CA","94133","37.797828","-122.407444",""
468,"TAQUERIA ZORRO","308 COLUMBUS AVE ","San Francisco","CA","94133","37.798065","-122.406855",""
469,"VIVA PIZZA RESTAURANT","318 COLUMBUS AVE ","San Francisco","CA","94133","37.798065","-122.406855",""
470,"FRANCHINO","347 COLUMBUS AVE ","San Francisco","CA","94133","37.798427","-122.407507",""
473,"CAFFE GRECO","423 COLUMBUS AVE ","San Francisco","CA","94133","37.79886","-122.408204",""
475,"MARA'S","503 COLUMBUS AVE ","San Francisco","CA","94133","37.799501","-122.409084",""
477,"IL POLLAIO","555 COLUMBUS AVE ","San Francisco","CA","94133","37.800036","-122.409817",""
479,"RISTORANTE IDEALE","1309 GRANT AVE ","San Francisco","CA","94133","37.799003","-122.407274",""
480,"MO'S GRILL","1322 GRANT AVE ","San Francisco","CA","94133","37.799058","-122.407217",""
